"Alpha","Points:0","Points:1","Points:2","V:0","V:1","V:2","Wave_Drag","Wave_Drag_2D","Wave_Height","Wave_Height_2D","Wave_slope"
0.20819,36,2,-575.86,11.823,0.13337,-0.71873,0.16413,0.035027,0.12128,0.1222,0.03268
0.17109,44,2,-575.86,9.8463,0.19783,-0.92731,0.083775,0.015886,0.040493,0.018751,-0.064719
0.1925,52,2,-575.86,8.5729,0.22003,-0.96895,0.058788,0.0099058,-0.17074,-0.079187,0.00016628
0.21916,60,2,-575.86,8.3666,0.18874,-0.79245,0.062075,0.010143,0.16735,0.071389,0.02015
0.22362,68,2,-575.86,8.9102,0.052002,-0.80744,0.077211,0.013149,-0.07031,-0.010323,0.014257
0.18201,76,2,-575.86,9.5849,-0.12726,-1.1535,0.088802,0.018614,0.051957,0.061524,-0.015613
0.17132,84,2,-575.86,9.8686,-0.21046,-1.2216,0.094541,0.019953,0.23163,0.19163,-0.017362
0.18906,92,2,-575.86,9.7169,-0.1102,-0.48474,0.094243,0.018358,0.17132,0.10596,-0.084397
0.21349,100,2,-575.86,9.5776,0.045201,0.50175,0.095654,0.017682,-0.28116,-0.22876,-0.013841
0.20597,108,2,-575.86,9.9319,-0.025428,0.71339,0.10629,0.020727,-0.41927,-0.40935,-0.023226
0.20979,116,2,-575.86,10.734,-0.39361,0.30411,0.1416,0.032709,-0.49785,-0.36985,0.044146
0.21384,124,2,-575.86,11.551,-0.78784,0.09345,0.18033,0.043792,0.19157,0.1058,0.11021
0.1702,132,2,-575.86,12.183,-0.82171,0.12366,0.17289,0.039516,0.36634,0.26062,-0.079529
0.22613,140,2,-575.86,12.381,-0.37266,0.1202,0.2031,0.046165,-0.093205,0.067847,0.044387
0.21514,148,2,-575.86,11.591,0.20078,0.26215,0.1625,0.03647,0.41357,0.30095,0.10451
0.15645,156,2,-575.86,9.9726,0.42786,0.58384,0.083991,0.015958,0.24465,0.21503,-0.10759
0.24315,164,2,-575.86,8.6178,0.25287,0.6499,0.067086,0.010575,-0.10197,-0.034221,0.017284
0.23225,172,2,-575.86,8.1253,0.033707,0.52897,0.056592,0.009165,-0.042112,-0.052493,0.013262
0.22473,180,2,-575.86,8.1758,-0.012501,0.42865,0.056517,0.0082659,-0.044542,-0.064186,0.00047761
0.26634,188,2,-575.86,8.3618,0.071656,0.14869,0.065408,0.0082665,-0.16483,-0.091581,0.062901
0.19251,4,2,-566.02,9.4444,0.10914,-1.3168,0.08098,0.012304,-0.19713,-0.20798,-0.039439
0.24312,12,2,-566.02,8.9816,0.11631,-0.8791,0.084286,0.014145,-0.1803,-0.14351,0.045791
0.24801,20,2,-566.02,9.7859,-0.1473,-0.078544,0.11744,0.023151,0.057296,0.042744,0.065123
0.21167,28,2,-566.02,10.955,-0.30215,0.57853,0.14862,0.032154,0.20758,0.16815,-0.0035568
0.22981,36,2,-566.02,11.371,-0.062334,0.51803,0.16703,0.035818,0.12128,0.1222,0.03268
0.17698,44,2,-566.02,10.886,0.1817,-0.24442,0.12331,0.026601,0.040493,0.018751,-0.064719
0.18435,52,2,-566.02,10.198,0.088383,-0.93093,0.10404,0.021837,-0.17074,-0.079187,0.00016628
0.20038,60,2,-566.02,9.7774,-0.10331,-1.0286,0.097041,0.018936,0.16735,0.071389,0.02015
